"team","rating"
"San Antonio Spurs",9.80499490491337
"Los Angeles Clippers",7.95264272455627
"Oklahoma City Thunder",6.98450384883977
"Houston Rockets",5.68567275872086
"Golden State Warriors",5.67811993190944
"Miami Heat",4.84345528657663
"Portland Trailblazers",4.69748571114396
"Dallas Mavericks",3.92948388377252
"Minnesota Timberwolves",3.75651689671135
"Phoenix Suns",3.69278950386758
"Indiana Pacers",3.6494421134725
"Memphis Grizzlies",2.78258640788165
"Toronto Raptors",2.77124203953485
"Chicago Bulls",1.5223792105804
"Washington Wizards",1.42816383306995
"Atlanta Hawks",0
"Charlotte Hornets",-0.442964248530168
"Brooklyn Nets",-0.489994087101509
"Denver Nuggets",-0.738064190482383
"New York Knicks",-0.755792365984032
"New Orleans Pelicans",-1.30028273720104
"Sacramento Kings",-1.42232200397182
"Cleveland Cavaliers",-3.22003220812018
"Detroit Pistons",-3.48815321121272
"Boston Celtics",-4.32954012485565
"Los Angeles Lakers",-4.65875055751838
"Orlando Magic",-5.2289219577908
"Utah Jazz",-5.59375006007599
"Milwaukee Bucks",-7.77878321095437
"Philadelphia 76ers",-10.0157177544906
