,mu,sd,name,type
1,2.2336,3,Jayson Tatum,Rookie
2,1.72332,3,Jaylen Brown,Rookie
3,1.0167966666666666,3,Terry Rozier,Rookie
14,0.65092,3,OG Anunoby,Rookie
16,0.8456326666666667,3,Delon Wright,Rookie
18,0.8146843333333333,3,Tyus Jones,Rookie
24,1.06888,3,Miles Bridges,Rookie
26,0.93324,3,Thon Maker,Rookie
33,1.78548,3,Trae Young,Rookie
35,0.67804,3,Jarrett Allen,Rookie
36,0.5676,3,Caris LeVert,Rookie
45,2.72172,3,Deandre Ayton,Rookie
47,1.18432,3,Mikal Bridges,Rookie
52,0.73568,3,Harry Giles III,Rookie
54,1.82364,3,De'Aaron Fox,Rookie
62,0.84476,3,D.J. Wilson,Rookie
65,0.5149836666666666,3,Skal Labissiere,Rookie
72,0.98528,3,Bam Adebayo,Rookie
85,1.24664,3,Kevin Knox,Rookie
87,1.4314933333333333,3,Emmanuel Mudiay,Rookie
95,2.18688,3,Luka Doncic,Rookie
97,0.98244,3,Jakob Poeltl,Rookie
108,0.65092,3,Ante Zizic,Rookie
110,0.8234523333333333,3,Rondae Hollis-Jefferson,Rookie
115,0.69144,3,Grayson Allen,Rookie
120,0.80252,3,TJ Leaf,Rookie
124,1.1666,3,Jamal Murray,Rookie
126,0.72212,3,Juancho Hernangomez,Rookie
127,0.70628,3,Terrance Ferguson,Rookie
132,0.8054073333333334,3,Jarell Martin,Rookie
134,0.55148,3,Robert Williams III,Rookie
139,1.149642,3,Justise Winslow,Rookie
148,2.4352,3,Marvin Bagley III,Rookie
150,0.9200316666666667,3,Sam Dekker,Rookie
155,1.3562,3,Collin Sexton,Rookie
157,0.84228,3,Taurean Prince,Rookie
160,1.14916,3,Malik Monk,Rookie
165,0.5149836666666666,3,Pascal Siakam,Rookie
167,0.56328,3,Kyle Kuzma,Rookie
171,0.7574636666666666,3,Larry Nance Jr.,Rookie
179,0.8386826666666667,3,Justin Anderson,Rookie
181,0.8892,3,Guerschon Yabusele,Rookie
202,0.5149836666666666,3,Damian Jones,Rookie
205,1.62168,3,Mo Bamba,Rookie
206,1.65636,3,Jonathan Isaac,Rookie
210,2.01384,3,Josh Jackson,Rookie
211,1.1047883333333333,3,Devin Booker,Rookie
213,2.77996,3,Markelle Fultz,Rookie
214,0.58,3,Furkan Korkmaz,Rookie
219,0.827,3,Donte DiVincenzo,Rookie
226,2.48732,3,Lonzo Ball,Rookie
231,0.54488,3,DeAndre' Bembry,Rookie
238,1.565625,3,Willie Cauley-Stein,Rookie
246,1.4804,3,Wendell Carter Jr.,Rookie
249,2.613145,3,Karl-Anthony Towns,Rookie
256,0.75032,3,Kevin Huerter,Rookie
260,0.55172,3,Josh Hart,Rookie
262,0.54408,3,Dzanan Musa,Rookie
271,0.76636,3,John Collins,Rookie
277,0.72024,3,Josh Okogie,Rookie
282,1.0695433333333333,3,Kelly Oubre Jr.,Rookie
285,0.59128,3,Malik Beasley,Rookie
287,0.8314486666666666,3,Bobby Portis,Rookie
295,1.51204,3,Lauri Markkanen,Rookie
304,0.62488,3,Tyler Lydon,Rookie
306,0.5149836666666666,3,Timothe Luwawu-Cabarrot,Rookie
309,0.91636,3,Troy Brown Jr.,Rookie
310,0.58736,3,Moritz Wagner,Rookie
311,1.2092806666666667,3,Frank Kaminsky,Rookie
315,0.61184,3,Anfernee Simons,Rookie
331,1.1367613333333333,3,Myles Turner,Rookie
334,1.3134673333333333,3,Stanley Johnson,Rookie
338,2.3398993333333333,3,D'Angelo Russell,Rookie
341,1.0154,3,Jerome Robinson,Rookie
348,1.27332,3,Dennis Smith Jr.,Rookie
371,1.97168,3,Jaren Jackson Jr.,Rookie
372,0.58,3,Caleb Swanigan,Rookie
377,0.8866,3,Domantas Sabonis,Rookie
381,2.14484,3,Ben Simmons,Rookie
397,0.54808,3,Jacob Evans,Rookie
398,0.8797713333333333,3,Jerian Grant,Rookie
399,0.56788,3,Landry Shamet,Rookie
404,1.12512,3,Shai Gilgeous-Alexander,Rookie
409,1.06872,3,Marquese Chriss,Rookie
415,1.38524,3,Frank Ntilikina,Rookie
423,0.55572,3,Derrick White,Rookie
431,0.8706,3,Zhaire Smith,Rookie
438,1.09176,3,Luke Kennard,Rookie
442,1.55376,3,Dragan Bender,Rookie
444,0.55984,3,Tony Bradley,Rookie
445,1.1214163333333333,3,Trey Lyles,Rookie
447,0.54016,3,Omari Spellman,Rookie
448,1.407,3,Kris Dunn,Rookie
458,1.20964,3,Zach Collins,Rookie
459,1.03716,3,Donovan Mitchell,Rookie
472,0.93596,3,Justin Jackson,Rookie
481,1.27792,3,Buddy Hield,Rookie
494,0.84228,3,Dario Saric,Rookie
504,0.63732,3,Aaron Holiday,Rookie
507,0.78572,3,Lonnie Walker IV,Rookie
514,1.91904,3,Brandon Ingram,Rookie
515,0.66384,3,Chandler Hutchison,Rookie
